"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Categories","2","0","Create Categories","0"
"0","","0","Auth","3","0","Retrieving User Profile","0"
"0","","0","Categories","4","0","Update Categories","0"
"0","","0","Users","3","0","Get Users","0"
"0","","0","Users","4","0","Update User","0"
"0","","0","Categories","3","0","Get Categories","0"
"0","","0","Auth","5","0","User Login","0"
"0","","0","Users","1","0","Create User","0"
"0","","0","Users","2","0","Delete User","0"
"0","","0","Categories","2","0","Delete Category","0"
"0","","0","Products","1","0","Create Products","0"
"0","","0","Auth","1","0","Refreshing Access Token","0"
